"ZIP","County","Pop","ED","HHIncome","Tmax","Ozone"
92354,6071,22616,1451,112750,25.3,66.1
92356,6071,6738,828,27050,31.4,61.9
92359,6071,8284,607,84821,30.9,64.2
92363,6071,5314,384,31000,24.9,51
92373,6071,32964,2761,59536,22.9,58.3
92374,6071,42782,3583,61875,29.9,64.1
92376,6071,79979,8506,36795,30.8,63.4
92382,6071,5536,461,56705,31.6,64.1
92392,6071,56256,3795,105328,31.3,59.7
92394,6071,39372,4007,41188,31.7,62.7
92395,6071,44368,4084,48413,31.6,54.4
92399,6071,54720,5145,48417,31.8,64.9
92404,6071,59793,6405,36528,31.5,65.2
92405,6071,29078,1892,108250,30.8,67.3
92407,6071,60899,5075,51992,19.6,62.5
92408,6071,15820,1327,60903,31.7,57.9
92411,6071,26819,2796,38500,31.8,62.5
92501,6065,21933,1212,75645,29.6,63.9
92503,6065,90427,4739,75313,31.5,61.4
92504,6065,56427,3097,67941,31.6,61.4
92505,6065,48477,2445,84327,31.4,64.7
92506,6065,44458,2173,94265,31.8,62.3
92507,6065,60052,3789,53196,31.8,55.2
92508,6065,35437,1895,78409,31.8,58.8
92509,6065,79496,4070,80000,31.8,57.7
92530,6065,54353,3170,63641,31.7,56.3
92532,6065,23557,1441,53125,24.2,53.6
92539,6065,4577,389,34583,31.6,57.1
92543,6065,35206,2267,43750,23.7,56.6
92544,6065,47025,3037,49573,27.4,51.2
92545,6065,42744,2473,63375,29.2,56.2
92553,6065,76078,4414,54111,23.6,61.3
92555,6065,38114,2098,66318,25.8,62.6
92557,6065,51456,2725,79583,31.4,60.4
92561,6065,2261,70,246979,21.4,55.2
92562,6065,64165,2577,99475,21.9,54
92563,6065,66338,2712,100234,24,51.7
92567,6065,9855,548,78611,29.4,64.6
92570,6065,57436,3027,74750,29.2,51.1
92571,6065,56036,3047,61842,24.4,62.2
92582,6065,18186,1035,67156,27,58.5
92583,6065,31371,1979,44028,19.8,56.7
92584,6065,44971,2172,90074,20.7,51.7
92585,6065,21322,940,112000,29.8,60.6
92586,6065,20991,1240,47900,24,56.7
92590,6065,4491,152,90395,21.6,50.9
92591,6065,44033,1646,88309,23.7,53.9
92592,6065,78048,3088,89028,27.9,52.6
92595,6065,33048,1275,147849,25,59.7
92596,6065,26347,1170,107396,28.7,54.5
92602,6059,25173,794,77933,31.3,50.6
92603,6059,20204,229,133333,27.8,46.2
92604,6059,29631,734,86042,25,50
92606,6059,22692,347,104806,25.8,45.3
92610,6059,13575,321,120588,25.4,51.5
92612,6059,31090,774,18984,25.5,44.2
92614,6059,24458,392,91593,25.5,51.2
92617,6059,10532,251,14917,25.8,44.3
92618,6059,24662,688,76905,24.1,52.9
92624,6059,7542,82,156458,24.3,45.7
92626,6059,52425,603,91889,26.4,42.8
92627,6059,63452,648,107102,26.7,45.3
92629,6059,26976,361,107000,24.7,46.9
92630,6059,64067,1539,94778,31.6,51.8
92646,6059,57692,636,86750,26,41.5
92647,6059,59017,721,82083,23.6,44.4
92648,6059,45854,435,103424,23.8,46.4
92649,6059,34084,324,115156,24.4,40.4
92651,6059,24169,260,121818,27,43.8
92653,6059,29978,488,84773,25.5,49
92656,6059,50781,758,100804,25.7,47.4
92660,6059,33794,279,150104,23.1,44.7
92663,6059,23268,226,116611,28.2,46.1
92672,6059,38485,557,91779,24.3,43.7
92673,6059,31094,426,153382,24.6,44.6
92675,6059,36733,783,111270,24.7,53.5
92677,6059,68650,1153,91094,25.7,44.6
92679,6059,33757,1083,113795,32,52.3
92688,6059,45833,1174,117903,31.5,53.3
92691,6059,47267,987,91000,26.1,52.7
92692,6059,48831,1031,91304,31,52.3
92694,6059,24208,361,194926,31.2,51
92701,6059,52831,706,115022,29.5,44.6
92703,6059,70095,1178,56833,31.7,43.9
92704,6059,91438,1425,67591,22.7,45.4
92705,6059,46873,1028,74531,30.4,49.2
92706,6059,39361,493,145694,31.3,43.8
92707,6059,66151,660,98810,23.2,45.5
92708,6059,57535,652,92279,25.9,43.7
92780,6059,56960,1036,91359,31.5,50.6
92782,6059,29816,612,105268,30.6,48
92802,6059,45772,836,70156,31.7,43.8
92805,6059,72524,1474,70098,31.2,50.4
92806,6059,42423,968,66845,25.1,53.1
92807,6059,35574,1077,118281,28.2,53.6
92808,6059,20720,537,141458,27.8,53
92821,6059,40398,1047,102000,31.6,54.7
92831,6059,35281,760,59375,27.2,49.6
92832,6059,25764,497,92045,30.6,48.5
92833,6059,55178,1115,71667,31.9,47.9
92835,6059,25110,569,128047,31.5,55
92840,6059,56202,933,74491,31.6,47.9
92841,6059,34572,503,80556,30,44.2
92843,6059,48530,626,91510,27,45.1
92844,6059,25300,420,62019,26.3,43.2
92845,6059,16642,207,89643,34.7,43.7
92860,6065,27370,1297,104453,31.8,54.2
92865,6059,20796,488,94602,31.6,50.1
92866,6059,15541,432,50383,32,50.9
92867,6059,46219,1044,84722,31.6,51
92868,6059,25892,490,51181,31.6,46.1
92869,6059,38258,1004,106719,28.9,53.3
92870,6059,52587,1248,96357,31.1,50.5
92879,6065,48926,2706,61442,26.5,51.7
92881,6065,31394,1764,68375,29.3,60.4
92882,6065,69533,3215,97545,31.6,58.4
92883,6065,31463,1332,125764,31.5,56.1
92887,6059,20992,542,149583,19.3,51.2
93001,6111,32807,382,67697,37.1,40.3
93010,6111,44780,616,69271,37.2,45.5
93012,6111,37349,498,102717,31.5,47
93013,6083,16335,166,78958,30.2,44.3
93015,6111,18180,416,97750,23.5,55.1
93021,6111,38448,786,85139,30.5,48.2
93022,6111,5038,130,59118,36,48.2
93023,6111,22385,455,104350,33.8,55.6
93033,6111,84239,902,74792,34.4,42
93035,6111,28028,231,136442,34.2,42.9
93036,6111,45515,450,97778,36.6,41.8
93041,6111,23190,278,76207,34.5,44.8
93060,6111,34922,699,52941,34.4,45
93063,6037,56921,1845,112893,31.1,55.5
93065,6111,73918,1871,88750,29.5,48.6
93066,6111,3260,49,160000,33.6,44.4
93101,6083,32499,260,67740,29.7,40.4
93103,6083,19153,141,110347,30.1,38.2
93105,6083,24441,226,100183,30.4,49.5
93110,6083,16919,80,148625,28.7,38.8
93111,6083,17760,134,104231,28.7,35.6
93117,6083,50843,545,33627,28.5,37.6
